tool_id,tool_slug,tool_name,logo_ok,logo_status,logo_ctype,gallery_ok_count,gallery_total,tutorials_ok_count,tutorials_total,notes
c3babc0b-5fa3-4a5e-9d39-bfd75e29ed23,jasper,Jasper,ok,200,image/png,1,1,0,3,
98a07da0-6bad-48dc-85c7-1043e98fb8ec,copy-ai,Copy.ai,ok,200,image/png,1,1,0,3,
f7c806a6-1272-450a-a237-0dd91cbc0243,lavender,Lavender,ok,200,image/png,1,1,0,3,
e08be8ae-aa9c-4058-ac7e-78cbbb38be34,seventh-sense,Seventh Sense,ok,200,image/png,1,1,0,3,
ebfcb885-b386-485d-96e3-6b121261eace,persado,Persado,ok,200,image/jpeg,1,1,0,3,
d8718b87-56d6-418d-b1fc-c19923fed5a5,notion-ai,Notion AI,ok,200,image/png,1,1,0,3,
3b79c56a-9daa-4844-bd1d-c14cb2679601,mem,Mem,ok,200,image/png,1,1,0,3,
892d20d3-ce33-4388-896f-70b45f83d194,otter,Otter.ai,ok,200,image/png,1,1,0,3,
5caf75e8-207d-40bf-a259-30e48f435499,fathom,Fathom,ok,200,image/png,1,1,0,3,
022c8eb7-825b-412f-8bd2-9529cd097751,jasper-10,Jasper #10,ok,200,image/png,1,1,0,3,
9fcb93de-5de3-4c07-8eb9-dfc542f9e109,copy-ai-11,Copy.ai #11,ok,200,image/png,1,1,0,3,
c3ad14db-6e6b-4b9f-a9f8-cecf7e7befeb,lavender-12,Lavender #12,ok,200,image/png,1,1,0,3,
02a52646-210c-4d35-9ba5-117ac5b67dc8,seventh-sense-13,Seventh Sense #13,ok,200,image/png,1,1,0,3,
a711cbaa-c23f-465d-8926-d10d8121b365,persado-14,Persado #14,ok,200,image/jpeg,1,1,0,3,
869331a2-ae14-45f6-b90a-c8f04ba3d828,notion-ai-15,Notion AI #15,ok,200,image/png,1,1,0,3,
36d3334f-88d4-4d2d-a9b6-3a151fb56229,mem-16,Mem #16,ok,200,image/png,1,1,0,3,
0ff8fa3b-ed2e-44db-9eaa-c88f21427d99,otter-17,Otter.ai #17,ok,200,image/png,1,1,0,3,
28079482-67f1-4cd0-bfc0-4a30cbb09ff7,fathom-18,Fathom #18,ok,200,image/png,1,1,0,3,
9d4a18cf-60bf-4dff-a822-7e7c51563e42,jasper-19,Jasper #19,ok,200,image/png,1,1,0,3,
fc3dc725-0b3a-43cd-816b-bfaf4a01fa47,copy-ai-20,Copy.ai #20,ok,200,image/png,1,1,0,3,
6bdf7dc5-dff0-4179-864b-83540dde35fa,lavender-21,Lavender #21,ok,200,image/png,1,1,0,3,
00f7bd0d-16f9-4e62-a27d-ff57ca1b8369,seventh-sense-22,Seventh Sense #22,ok,200,image/png,1,1,0,3,
c0f89c64-fd4a-46ae-b236-e9ba64554fcf,persado-23,Persado #23,ok,200,image/jpeg,1,1,0,3,
b702dc9c-5bd1-4b5f-9878-67ad10a704da,notion-ai-24,Notion AI #24,ok,200,image/png,1,1,0,3,
030d8222-559a-4b6f-ad93-ffe7793c32b0,mem-25,Mem #25,ok,200,image/png,1,1,0,3,
d8ea0914-d4cd-463a-8880-a8113a526e99,otter-26,Otter.ai #26,ok,200,image/png,1,1,0,3,
78c3b04b-ffb2-4726-a91f-209be33b9195,fathom-27,Fathom #27,ok,200,image/png,1,1,0,3,
f67af58e-26d3-4bba-b775-cde49ae954c5,jasper-28,Jasper #28,ok,200,image/png,1,1,0,3,
648f60cf-d369-4998-bb29-d6220edecd29,copy-ai-29,Copy.ai #29,ok,200,image/png,1,1,0,3,
194c52fc-69d9-499d-8384-cc26c33494f0,lavender-30,Lavender #30,ok,200,image/png,1,1,0,3,
18389100-bfbe-418b-9a0c-d6f9698c381f,zapier-central,Zapier Central,ok,200,image/png,1,1,0,3,
76918d32-49a8-4d85-b250-3ab418b38293,tability-ai,Tability AI,ok,200,image/png,1,1,0,3,
e9557c31-933d-4f97-a376-5153b64009ed,khanmigo,Khanmigo,ok,200,image/png,1,1,0,3,
570145a7-d21a-4b95-b859-42585f9560b6,quizlet-qchat,Quizlet Q-Chat,ok,200,image/png,1,1,0,3,
61c4bc60-fd01-4404-96ef-2660f6e9384f,zapier-central-5,Zapier Central #5,ok,200,image/png,1,1,0,3,
12a2d1c0-357f-49cb-a4a0-da0640edba4f,tability-ai-6,Tability AI #6,ok,200,image/png,1,1,0,3,
a99ea0b1-1a1e-4359-ba02-ef76e5a0f47f,khanmigo-7,Khanmigo #7,ok,200,image/png,1,1,0,3,
f9f24123-f1ba-4685-afbc-414e0761f629,quizlet-qchat-8,Quizlet Q-Chat #8,ok,200,image/png,1,1,0,3,
42c0808f-9483-470f-9442-a57ce74993d5,zapier-central-9,Zapier Central #9,ok,200,image/png,1,1,0,3,
c3ec1494-4604-4b7e-bc25-8242ec004a8f,tability-ai-10,Tability AI #10,ok,200,image/png,1,1,0,3,
efd9d0f7-5171-4d89-9435-8b7294de7adf,khanmigo-11,Khanmigo #11,ok,200,image/png,1,1,0,3,
1f5b949c-aec5-4c99-b69c-ee4f0587b45d,quizlet-qchat-12,Quizlet Q-Chat #12,ok,200,image/png,1,1,0,3,
7fab7989-9b42-4a32-b7f2-f46f8af95054,zapier-central-13,Zapier Central #13,ok,200,image/png,1,1,0,3,
c294ff0b-49d9-4574-92e6-026df61927dd,tability-ai-14,Tability AI #14,ok,200,image/png,1,1,0,3,
e6944a20-0756-4133-8e18-41d5ddbfe95d,khanmigo-15,Khanmigo #15,ok,200,image/png,1,1,0,3,
175ee025-79bb-4f1f-8ffa-41f3f2c2e188,quizlet-qchat-16,Quizlet Q-Chat #16,ok,200,image/png,1,1,0,3,
89bf7e23-0f9b-470a-9253-71ed36fa18be,zapier-central-17,Zapier Central #17,ok,200,image/png,1,1,0,3,
cb1a9d6c-e1b6-4df5-a66a-dff7e97ada87,tability-ai-18,Tability AI #18,ok,200,image/png,1,1,0,3,
d2b753a5-7638-42c6-898d-8128a4a01d8c,khanmigo-19,Khanmigo #19,ok,200,image/png,1,1,0,3,
5d17b409-45e3-4ceb-88a1-7ecd6fd65596,quizlet-qchat-20,Quizlet Q-Chat #20,ok,200,image/png,1,1,0,3,
504300b3-d082-4219-918b-901dcbad37f5,zapier-central-21,Zapier Central #21,ok,200,image/png,1,1,0,3,
d26f29ad-7123-4117-984e-dd875fb8b9f5,tability-ai-22,Tability AI #22,ok,200,image/png,1,1,0,3,
e2873bef-4262-404c-90be-4c08b13a665c,khanmigo-23,Khanmigo #23,ok,200,image/png,1,1,0,3,
b4d846cb-315f-41fb-bce0-b5213c1cb6cc,quizlet-qchat-24,Quizlet Q-Chat #24,ok,200,image/png,1,1,0,3,
49ccfc82-a572-4ad5-a4ef-a50a0d5e1af5,zapier-central-25,Zapier Central #25,ok,200,image/png,1,1,0,3,
c68c0514-6ba6-4e09-8f3c-184ce91afe86,tability-ai-26,Tability AI #26,ok,200,image/png,1,1,0,3,
bf9a491c-31ac-4ac8-882e-365b970f90d3,khanmigo-27,Khanmigo #27,ok,200,image/png,1,1,0,3,
d46237f0-206d-40ed-b38a-a5c592a10d47,quizlet-qchat-28,Quizlet Q-Chat #28,ok,200,image/png,1,1,0,3,
343bf5c3-9269-4b6a-9d16-c3af15dd55bc,zapier-central-29,Zapier Central #29,ok,200,image/png,1,1,0,3,
ed577e22-9063-41bb-a519-7f182087e3e6,tability-ai-30,Tability AI #30,ok,200,image/png,1,1,0,3,
46fff95f-84b0-45fd-a2b2-8dd41715a531,openai-gpts,OpenAI GPTs,ok,200,image/png,1,1,0,3,
bf70b185-5223-4c7a-9f1c-ac394036d2e7,openrouter,OpenRouter,ok,200,image/png,1,1,0,3,
8ec95ac1-466c-4f44-89d5-e2608c416f68,fixie,Fixie,ok,200,image/png,1,1,0,3,
05668eaf-dd5f-48d6-bec2-ac9442e26b9e,langgraph,LangGraph,ok,200,image/png,1,1,0,3,
